Track name,Artist name,Album,Playlist name,Type,ISRC
"BASS ENTITY - Underwater Rave (Halloween VIP)","","","Liked videos","Favorite",""
"Doctor P - Flying Spaghetti Monster","","","Liked videos","Favorite",""
"Fred again.. · The Blessed Madonna - Marea (we’ve lost dancing)","","","Liked videos","Favorite",""
"Of The Trees - Muscaria","","","Liked videos","Favorite",""
"Wooli · SampliFire - ACID","","","Liked videos","Favorite",""
"Crankdat - STFU","","","Liked videos","Favorite",""
"Space Laces - Kaiju","","","Liked videos","Favorite",""
"Excision · ATLiens - Dinosaurs From Outer Space","","","Liked videos","Favorite",""
"Ray Volpe - Laserbeam","","","Liked videos","Favorite",""
"Jauz · Samuel Vogel · 666 - SUPER FLY (WICKED VIP)","","","Liked videos","Favorite",""
"HOL! - BOSS FIGHT","","","Liked videos","Favorite",""
"HOL! - COUNTRY RIDDIM","","","Liked videos","Favorite",""
"Marshmello · HOL! - Movement","","","Liked videos","Favorite",""
"Subtronics · HOL! - Mind Pluck","","","Liked videos","Favorite",""
"HOL! - RIDDIM RODEO","","","Liked videos","Favorite",""
"ATLiens · Subdocta - Crazy (SubDocta Remix)","","","Liked videos","Favorite",""
"PEEKABOO - Hypnotendiez","","","Liked videos","Favorite",""
"PEEKABOO - All I Need Is Bass","","","Liked videos","Favorite",""
"PEEKABOO · Grabbitz - Going Insane","","","Liked videos","Favorite",""
"PEEKABOO - Imposters","","","Liked videos","Favorite",""
"PEEKABOO - Invasion","","","Liked videos","Favorite",""
"PEEKABOO - Aliens","","","Liked videos","Favorite",""
"PEEKABOO - Arrival","","","Liked videos","Favorite",""
"Fur Elise Played Backwards","","","Liked videos","Favorite",""
"Lacrimosa, Unfinished version, from Mozart's Requiem K. 626","","","Liked videos","Favorite",""
"Beethoven - Moonlight Sonata (complete) [Backwards]","","","Liked videos","Favorite",""
"Sons Of Kemet - Play Mass","","","Liked videos","Favorite",""
"Sons Of Kemet - Your Queen Is A Reptile","","","Liked videos","Favorite",""
"Robert DeLong “Long Way Down” | Sounds by the Sound","","","Liked videos","Favorite",""
"Michael Jackson - Ghosts / Full Acapella (Lead, harmonies, choirs...)","","","Liked videos","Favorite",""
"Michael Jackson - Xscape (2014 Filtered A Cappella)","","","Liked videos","Favorite",""
"Piano ZeroL - Solas (Piano Version)","","","Liked videos","Favorite",""
"Kassia - Passacaglia | Handel/Halvorsen (Piano Solo)","","","Liked videos","Favorite",""
"Academy Of St. Christopher Orchestra · Johann Sebastian Bach - Toccata & Fugue D Minor, BWV 565","","","Liked videos","Favorite",""
"Rousseau - Etude Op. 10 No. 5 - Black Keys (Chopin)","","","Liked videos","Favorite",""
"MusicalBasics - Beethoven Virus","","","Liked videos","Favorite",""
"MusicalBasics - Hungarian Rhapsody Nightmare","","","Liked videos","Favorite",""
"Winter from Vivaldi's Four Seasons for Saxophone Quartet & Soloist","","","Liked videos","Favorite",""
"Fred again.. - i saw you","","","Liked videos","Favorite",""
